WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
27,27,Rory McIlroy,69,"17' 4""",17.333,1,E,Y2016
28,28,Ben Martin,92,"17' 6""",140.25,8,3,Y2016
T29,T29,Anirban Lahiri,72,"17' 7""",105.417,6,-1,Y2016
T29,T29,Scott Stallings,74,"17' 7""",193.667,11,1,Y2016
31,31,William McGirt,98,"18' 0""",180,10,3,Y2016
T32,T32,Emiliano Grillo,93,"18' 4""",146.5,8,-3,Y2016
T32,T32,Jordan Spieth,80,"18' 4""",164.667,9,1,Y2016
34,34,Robert Streb,87,"18' 7""",204.417,11,-1,Y2016
35,35,Tim Wilkinson,72,"18' 8""",93.5,5,-1,Y2016
T36,T36,Aaron Baddeley,93,"18' 11""",284.083,15,E,Y2016
T36,T36,Lucas Glover,75,"18' 11""",151.25,8,1,Y2016
T36,T36,Michael Thompson,71,"18' 11""",132.583,7,-4,Y2016
39,39,Thomas Aiken,70,"19' 1""",19.083,1,E,Y2016
T40,T40,Brendan Steele,88,"19' 2""",134.25,7,-2,Y2016
T40,T40,Nick Taylor,83,"19' 2""",326.417,17,1,Y2016
42,42,Luke List,79,"19' 3""",230.917,12,-2,Y2016
43,43,Daniel Berger,92,"19' 5""",135.917,7,1,Y2016
44,44,Bubba Watson,72,"19' 6""",311.833,16,E,Y2016
45,45,Chad Campbell,90,"19' 7""",176.167,9,4,Y2016
T46,T46,Ken Duke,58,"20' 0""",120.083,6,3,Y2016
T46,T46,D.H. Lee,61,"20' 0""",199.917,10,4,Y2016
T48,T48,Brendon de Jonge,83,"20' 2""",302.167,15,E,Y2016
T48,T48,Hiroshi Iwata,85,"20' 2""",262.5,13,6,Y2016
50,50,Luke Donald,81,"20' 3""",202.667,10,1,Y2016
T51,T51,Andres Gonzales,80,"20' 8""",144.583,7,2,Y2016
T51,T51,Vaughn Taylor,72,"20' 8""",185.917,9,-1,Y2016
T53,T53,Chris Kirk,90,"20' 11""",313.667,15,1,Y2016
T53,T53,Danny Lee,93,"20' 11""",208.75,10,-2,Y2016
55,55,D.A. Points,55,"21' 0""",209.833,10,-1,Y2016
T56,T56,Geoff Ogilvy,63,"21' 1""",147.5,7,4,Y2016
T56,T56,Scott Piercy,87,"21' 1""",231.917,11,2,Y2016
58,58,Peter Malnati,85,"21' 2""",444.583,21,2,Y2016
T59,T59,Jason Gore,78,"21' 3""",212.25,10,5,Y2016
T59,T59,Jimmy Walker,85,"21' 3""",254.583,12,2,Y2016
T61,T61,Si Woo Kim,113,"21' 6""",429.917,20,7,Y2016
T61,T61,Ryan Moore,86,"21' 6""",279.417,13,E,Y2016
T61,T61,Kyle Stanley,92,"21' 6""",150.667,7,3,Y2016
T64,T64,Billy Hurley III,66,"21' 7""",129.417,6,5,Y2016
T64,T64,Jeff Overton,69,"21' 7""",194.167,9,E,Y2016
T66,T66,Patrick Rodgers,89,"21' 8""",324.667,15,4,Y2016
T66,T66,Brandt Snedeker,93,"21' 8""",216.333,10,1,Y2016
68,68,Daniel Summerhays,99,"21' 9""",348.333,16,-1,Y2016
69,69,Tyler Aldridge,83,"21' 10""",415.083,19,2,Y2016
70,70,Kelly Kraft,63,"22' 1""",132.25,6,-1,Y2016
T71,T71,Morgan Hoffmann,71,"22' 2""",310.417,14,4,Y2016
T71,T71,Brooks Koepka,75,"22' 2""",88.667,4,E,Y2016
T73,T73,Zac Blair,99,"22' 3""",245.167,11,5,Y2016
T73,T73,Jason Kokrak,89,"22' 3""",156,7,-2,Y2016
75,75,Seung-Yul Noh,85,"22' 4""",334.5,15,6,Y2016
76,76,Ryan Palmer,86,"22' 5""",336.833,15,3,Y2016
T77,T77,Jason Dufner,105,"22' 7""",225.583,10,7,Y2016
T77,T77,Bill Haas,86,"22' 7""",248.083,11,-2,Y2016
79,79,Patton Kizzire,93,"22' 9""",295.833,13,3,Y2016
80,80,Chad Collins,73,"22' 10""",319.167,14,3,Y2016
81,81,Johnson Wagner,86,"22' 11""",183.25,8,-1,Y2016
82,82,Matt Jones,83,"23' 0""",115,5,1,Y2016
83,83,Justin Thomas,99,"23' 3""",488.417,21,7,Y2016
T84,T84,Charley Hoffman,91,"23' 5""",234.417,10,5,Y2016
T84,T84,George McNeill,51,"23' 5""",140.417,6,2,Y2016
T84,T84,Charl Schwartzel,73,"23' 5""",187.333,8,6,Y2016
87,87,Kevin Na,96,"23' 6""",234.667,10,3,Y2016
T88,T88,Spencer Levin,104,"23' 8""",284.417,12,E,Y2016
T88,T88,Brett Stegmaier,87,"23' 8""",260.5,11,E,Y2016
T88,T88,Brian Stuard,66,"23' 8""",141.917,6,2,Y2016
T88,T88,Harold Varner III,92,"23' 8""",307.417,13,2,Y2016
92,92,Scott Pinckney,87,"23' 10""",309.583,13,3,Y2016
T93,T93,Steven Bowditch,71,"23' 11""",334.833,14,5,Y2016
T93,T93,Tony Finau,95,"23' 11""",526.333,22,3,Y2016
T93,T93,Patrick Reed,105,"23' 11""",359,15,1,Y2016
96,96,Roberto Castro,97,"24' 1""",361.333,15,5,Y2016
T97,T97,J.J. Henry,68,"24' 2""",168.917,7,2,Y2016
T97,T97,Andrew Loupe,75,"24' 2""",435,18,-1,Y2016
99,99,Dicky Pride,55,"24' 4""",170.083,7,3,Y2016
T100,T100,Branden Grace,63,"24' 5""",122.083,5,E,Y2016
T100,T100,Jamie Lovemark,91,"24' 5""",366.583,15,1,Y2016
T102,T102,Harris English,97,"24' 8""",296,12,-1,Y2016
T102,T102,James Hahn,85,"24' 8""",395,16,4,Y2016
T102,T102,Kyle Reifers,115,"24' 8""",345.167,14,E,Y2016
105,105,Bronson Burgoon,83,"24' 9""",321.25,13,5,Y2016
T106,T106,Jim Herman,93,"24' 10""",149.083,6,4,Y2016
T106,T106,Martin Laird,82,"24' 10""",198.833,8,3,Y2016
T106,T106,Troy Merritt,77,"24' 10""",248.333,10,3,Y2016
T106,T106,Francesco Molinari,64,"24' 10""",74.417,3,2,Y2016
110,110,Louis Oosthuizen,63,"24' 11""",149.417,6,2,Y2016
T111,T111,Cameron Tringale,81,"25' 1""",200.917,8,2,Y2016
T111,T111,Steve Wheatcroft,85,"25' 1""",351.333,14,1,Y2016
T113,T113,Derek Ernst,59,"25' 2""",100.667,4,1,Y2016
T113,T113,Tom Hoge,81,"25' 2""",226.667,9,8,Y2016
T113,T113,Andrew Landry,53,"25' 2""",201.333,8,1,Y2016
116,116,Blayne Barber,84,"25' 3""",151.667,6,2,Y2016
117,117,Chesson Hadley,81,"25' 4""",253.333,10,6,Y2016
118,118,Greg Owen,85,"25' 5""",305.083,12,2,Y2016
T119,T119,Jason Day,76,"25' 7""",358.083,14,-1,Y2016
T119,T119,Rob Oppenheim,67,"25' 7""",281.25,11,1,Y2016
T119,T119,Chez Reavie,90,"25' 7""",256.167,10,2,Y2016
T119,T119,Dawie van der Walt,72,"25' 7""",204.917,8,-1,Y2016
T123,T123,J.B. Holmes,77,"25' 8""",513.167,20,E,Y2016
T123,T123,Charles Howell III,91,"25' 8""",538.25,21,3,Y2016
125,125,Keegan Bradley,82,"25' 9""",334.333,13,2,Y2016
126,126,John Senden,88,"25' 10""",206.667,8,-1,Y2016
127,127,Vijay Singh,72,"25' 11""",207,8,3,Y2016
128,128,Sung Kang,89,"26' 0""",338.417,13,3,Y2016
129,129,Hudson Swafford,104,"26' 1""",104.417,4,3,Y2016
T130,T130,Jon Curran,99,"27' 3""",190.583,7,4,Y2016
T130,T130,Rod Pampling,54,"27' 3""",136.333,5,1,Y2016
132,132,Ernie Els,66,"27' 5""",328.833,12,1,Y2016
133,133,Zach Johnson,90,"27' 9""",194,7,2,Y2016
134,134,Scott Langley,65,"27' 11""",195.167,7,1,Y2016
135,135,Retief Goosen,55,"28' 0""",167.833,6,E,Y2016
136,136,David Toms,62,"28' 4""",254.833,9,4,Y2016
T137,T137,Fabián Gómez,82,"28' 5""",312.833,11,1,Y2016
T137,T137,Adam Hadwin,93,"28' 5""",227.083,8,5,Y2016
T137,T137,Tyrone Van Aswegen,105,"28' 5""",341.417,12,3,Y2016
140,140,Mark Wilson,66,"28' 8""",172.167,6,1,Y2016
141,141,Ángel Cabrera,62,"28' 11""",202.583,7,1,Y2016
T142,T142,Stuart Appleby,71,"29' 1""",320,11,7,Y2016
T142,T142,Matt Kuchar,100,"29' 1""",407,14,1,Y2016
144,144,Graeme McDowell,63,"29' 6""",118.083,4,3,Y2016
145,145,Michael Kim,100,"29' 7""",503,17,2,Y2016
T146,T146,Sean O'Hair,89,"29' 9""",417,14,6,Y2016
T146,T146,Sam Saunders,69,"29' 9""",208.333,7,7,Y2016
T148,T148,Luke Guthrie,57,"29' 11""",179.25,6,3,Y2016
T148,T148,Phil Mickelson,75,"29' 11""",299.083,10,1,Y2016
T150,T150,Brian Harman,104,"30' 0""",419.583,14,7,Y2016
T150,T150,John Huh,86,"30' 0""",510.583,17,9,Y2016
152,152,Derek Fathauer,94,"30' 5""",364.75,12,4,Y2016
153,153,Wes Roach,59,"30' 11""",185.667,6,1,Y2016
154,154,Whee Kim,82,"31' 0""",371.583,12,E,Y2016
155,155,Brendon Todd,66,"31' 1""",310.917,10,4,Y2016
156,156,David Hearn,95,"31' 3""",156.083,5,E,Y2016
