RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,SUCCESSES,ATTEMPTS,YEAR
T79,T79,John Rollins,84,59.38,95,160,Y2014
T79,T79,Chris Stroud,88,59.38,95,160,Y2014
81,81,Chad Campbell,57,59.34,54,91,Y2014
82,82,Sean O'Hair,77,59.31,86,145,Y2014
83,83,Retief Goosen,94,59.17,100,169,Y2014
84,84,Bronson La'Cassie,51,59.05,62,105,Y2014
85,85,Ben Martin,80,58.99,82,139,Y2014
86,86,Lee Westwood,57,58.97,46,78,Y2014
87,87,Louis Oosthuizen,50,58.93,33,56,Y2014
88,88,Tim Clark,75,58.9,86,146,Y2014
89,89,Bud Cauley,56,58.88,63,107,Y2014
90,90,Brooks Koepka,56,58.82,60,102,Y2014
91,91,Zach Johnson,97,58.7,81,138,Y2014
92,92,Bo Van Pelt,83,58.65,78,133,Y2014
T93,T93,Russell Knox,92,58.52,79,135,Y2014
T93,T93,Michael Thompson,74,58.52,79,135,Y2014
95,95,Aaron Baddeley,74,58.39,87,149,Y2014
96,96,K.J. Choi,80,58.33,77,132,Y2014
T97,T97,Carl Pettersson,91,58.28,88,151,Y2014
T97,T97,Camilo Villegas,95,58.28,95,163,Y2014
99,99,Troy Merritt,62,58.26,67,115,Y2014
100,100,Ben Crane,81,58.1,104,179,Y2014
101,101,Trevor Immelman,84,58,87,150,Y2014
102,102,Jimmy Walker,98,57.89,77,133,Y2014
T103,T103,Robert Allenby,83,57.86,81,140,Y2014
T103,T103,James Driscoll,71,57.86,81,140,Y2014
105,105,Ryo Ishikawa,75,57.82,85,147,Y2014
T106,T106,Jason Dufner,57,57.69,30,52,Y2014
T106,T106,Richard Lee,80,57.69,90,156,Y2014
108,108,Martin Laird,66,57.5,69,120,Y2014
109,109,John Huh,87,57.45,81,141,Y2014
110,110,Matt Kuchar,91,57.39,66,115,Y2014
111,111,Geoff Ogilvy,84,57.36,74,129,Y2014
112,112,Charlie Wi,72,57.23,95,166,Y2014
113,113,Woody Austin,63,57.02,69,121,Y2014
114,114,Morgan Hoffmann,103,56.92,111,195,Y2014
115,115,Andrew Loupe,65,56.91,70,123,Y2014
116,116,Rickie Fowler,91,56.88,62,109,Y2014
T117,T117,Jason Bohn,81,56.67,85,150,Y2014
T117,T117,Bubba Watson,76,56.67,51,90,Y2014
119,119,Stewart Cink,91,56.64,64,113,Y2014
120,120,Hunter Mahan,88,56.6,60,106,Y2014
121,121,Vijay Singh,83,56.46,83,147,Y2014
122,122,Andres Romero,81,56.42,101,179,Y2014
123,123,Robert Garrigus,80,56.25,81,144,Y2014
124,124,Wes Roach,67,56.15,73,130,Y2014
T125,T125,Jim Herman,62,56.14,64,114,Y2014
T125,T125,John Peterson,62,56.14,64,114,Y2014
127,127,Brian Harman,111,56,126,225,Y2014
128,128,Gonzalo Fernandez-Castaño,83,55.84,86,154,Y2014
129,129,Mike Weir,69,55.76,92,165,Y2014
130,130,Brendon de Jonge,109,55.69,93,167,Y2014
131,131,Adam Scott,68,55.42,46,83,Y2014
132,132,Harris English,95,55.41,82,148,Y2014
133,133,Hudson Swafford,75,55.37,67,121,Y2014
134,134,Josh Teater,90,55.36,93,168,Y2014
135,135,James Hahn,82,55.26,84,152,Y2014
T136,T136,Matt Jones,83,55.17,64,116,Y2014
T136,T136,George McNeill,79,55.17,80,145,Y2014
138,138,John Merrick,87,55,77,140,Y2014
139,139,Seung-Yul Noh,92,54.97,83,151,Y2014
140,140,Brandt Snedeker,89,54.96,72,131,Y2014
141,141,Graham DeLaet,80,54.92,67,122,Y2014
142,142,Derek Ernst,80,54.74,75,137,Y2014
143,143,Sangmoon Bae,76,54.73,81,148,Y2014
144,144,Rory Sabbatini,82,54.55,66,121,Y2014
145,145,Roberto Castro,76,54.47,67,123,Y2014
146,146,Steven Bowditch,93,54.44,92,169,Y2014
147,147,Michael Putnam,106,54.12,92,170,Y2014
148,148,Will MacKenzie,82,54.11,79,146,Y2014
149,149,Davis Love III,74,54.01,74,137,Y2014
150,150,Justin Hicks,103,53.74,79,147,Y2014
151,151,Tyrone Van Aswegen,79,53.7,87,162,Y2014
152,152,Brendan Steele,89,53.59,82,153,Y2014
153,153,Tommy Gainey,73,53.47,77,144,Y2014
154,154,Ken Duke,80,53.08,69,130,Y2014
155,155,J.J. Henry,91,53.04,96,181,Y2014
156,156,Danny Lee,84,53.02,79,149,Y2014
157,157,Mark Wilson,69,52.74,77,146,Y2014
158,158,Kevin Streelman,79,52.43,54,103,Y2014
159,159,Charlie Beljan,76,52.21,71,136,Y2014
160,160,Troy Matteson,62,51.88,69,133,Y2014
161,161,Kevin Chappell,100,51.79,87,168,Y2014
162,162,Marc Leishman,81,51.55,50,97,Y2014
163,163,Briny Baird,50,51.33,58,113,Y2014
164,164,David Lingmerth,80,51.09,70,137,Y2014
T165,T165,Jim Renner,61,50,56,112,Y2014
T165,T165,Scott Stallings,77,50,59,118,Y2014
T165,T165,Nicholas Thompson,85,50,69,138,Y2014
T165,T165,Nick Watney,80,50,53,106,Y2014
169,169,Kyle Stanley,87,49.67,75,151,Y2014
170,170,Ángel Cabrera,69,49.43,43,87,Y2014
171,171,Rory McIlroy,66,47.54,29,61,Y2014
172,172,Henrik Stenson,56,47.46,28,59,Y2014
173,173,D.A. Points,75,45.67,58,127,Y2014
174,174,Dustin Johnson,58,45.45,30,66,Y2014
175,175,Lucas Glover,68,43.69,45,103,Y2014
176,176,Martin Kaymer,65,42.68,35,82,Y2014
