RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
T105,T105,Brandt Snedeker,98,288.4,"51,920",180,Y2015
107,107,Steve Wheatcroft,87,288.3,"47,276",164,Y2015
T108,T108,Scott Brown,97,288.2,"55,336",192,Y2015
T108,T108,Adam Hadwin,95,288.2,"53,029",184,Y2015
T110,T110,Ben Martin,93,288.1,"51,851",180,Y2015
T110,T110,John Peterson,84,288.1,"48,402",168,Y2015
112,112,Kyle Reifers,96,288,"52,407",182,Y2015
113,113,Brian Harman,90,287.9,"51,255",178,Y2015
114,114,Kevin Kisner,104,287.8,"59,862",208,Y2015
115,115,Bill Lunde,50,287.7,"25,893",90,Y2015
116,116,Jonas Blixt,78,287.6,"37,389",130,Y2015
117,117,Jonathan Byrd,69,287.5,"34,782",121,Y2015
118,118,Jonathan Randolph,72,287.2,"40,203",140,Y2015
T119,T119,Brice Garnett,81,287.1,"43,070",150,Y2015
T119,T119,Andrew Svoboda,80,287.1,"44,207",154,Y2015
T121,T121,Jason Dufner,76,286.7,"36,692",128,Y2015
T121,T121,Ian Poulter,68,286.7,"34,978",122,Y2015
123,123,Matt Every,73,286.6,"35,534",124,Y2015
124,124,Eric Axley,57,286.4,"30,932",108,Y2015
125,125,Chez Reavie,56,286.3,"31,494",110,Y2015
126,126,George McNeill,93,286.2,"53,225",186,Y2015
127,127,Nicholas Thompson,90,286,"46,912",164,Y2015
128,128,Chris Kirk,76,285.8,"39,439",138,Y2015
129,129,Tyrone Van Aswegen,58,285.6,"30,277",106,Y2015
130,130,Brendon de Jonge,106,285.3,"57,635",202,Y2015
T131,T131,Chad Campbell,97,285.2,"55,327",194,Y2015
T131,T131,Troy Merritt,91,285.2,"49,623",174,Y2015
133,133,John Merrick,78,285,"41,606",146,Y2015
134,134,Jeff Overton,94,284.8,"49,554",174,Y2015
135,135,Pat Perez,96,284.6,"52,364",184,Y2015
136,136,Russell Knox,96,284.4,"54,605",192,Y2015
137,137,Daniel Summerhays,101,284,"57,365",202,Y2015
138,138,Luke Guthrie,84,283.9,"43,727",154,Y2015
T139,T139,Spencer Levin,99,283.7,"54,461",192,Y2015
T139,T139,Sung Joon Park,79,283.7,"43,126",152,Y2015
T141,T141,Ricky Barnes,82,283.3,"41,926",148,Y2015
T141,T141,Alex Cejka,94,283.3,"52,119",184,Y2015
T141,T141,Jim Renner,68,283.3,"36,827",130,Y2015
144,144,Fabián Gómez,83,283.2,"46,448",164,Y2015
145,145,Danny Lee,120,283.1,"65,103",230,Y2015
146,146,Chris Stroud,84,283,"45,275",160,Y2015
147,147,Robert Allenby,63,282.7,"30,534",108,Y2015
T148,T148,Zach Johnson,90,282.6,"48,615",172,Y2015
T148,T148,Ryan Moore,81,282.6,"39,568",140,Y2015
150,150,Whee Kim,71,282.4,"38,976",138,Y2015
151,151,Jim Furyk,71,281.9,"36,084",128,Y2015
152,152,Cameron Tringale,96,281.8,"54,114",192,Y2015
153,153,Francesco Molinari,56,281.6,"29,849",106,Y2015
154,154,Greg Chalmers,58,281.5,"27,583",98,Y2015
155,155,D.A. Points,72,280.8,"38,744",138,Y2015
156,156,David Hearn,97,280.6,"54,445",194,Y2015
157,157,Scott Langley,94,280.5,"51,323",183,Y2015
