RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
1,,Rory McIlroy,64,319.7,"39,000",122,Y2018
2,,Trey Mullinax,75,318.3,"43,929",138,Y2018
3,,Tom Lovelady,87,315.9,"51,168",162,Y2018
4,,Tony Finau,105,315.1,"56,721",180,Y2018
5,,Luke List,98,314.6,"54,746",174,Y2018
6,,Dustin Johnson,77,314,"43,953",140,Y2018
7,,Gary Woodland,96,313.5,"52,042",166,Y2018
8,,Brooks Koepka,64,313.4,"36,350",116,Y2018
9,,Bubba Watson,90,313.1,"49,470",158,Y2018
10,,Keith Mitchell,99,312.6,"60,646",194,Y2018
11,,Justin Thomas,91,311.8,"46,153",148,Y2018
12,,Brendan Steele,74,310.3,"39,103",126,Y2018
13,,Kevin Tway,110,310.1,"59,535",192,Y2018
14,,Jason Day,75,310,"37,195",120,Y2018
15,,Jason Kokrak,99,309.5,"61,277",198,Y2018
16,,Jon Rahm,71,308.9,"38,298",124,Y2018
17,,Kevin Chappell,77,308.6,"45,670",148,Y2018
18,,Harold Varner III,91,308.2,"49,935",162,Y2018
T19,,Byeong Hun An,86,307.9,"49,257",160,Y2018
T19,,Robert Garrigus,80,307.9,"46,803",152,Y2018
21,,Nick Watney,94,307.5,"55,353",180,Y2018
22,,Grayson Murray,72,307.3,"39,331",128,Y2018
23,,Tommy Fleetwood,73,306.9,"38,059",124,Y2018
24,,J.B. Holmes,77,306.1,"43,466",142,Y2018
25,,Bryson DeChambeau,93,305.7,"56,854",186,Y2018
26,,Adam Schenk,86,305.5,"48,881",160,Y2018
27,,Ryan Palmer,69,305.2,"38,459",126,Y2018
28,,Xander Schauffele,96,304.9,"49,388",162,Y2018
29,,Adam Scott,78,304.6,"42,649",140,Y2018
30,,Matt Jones,70,304.5,"37,757",124,Y2018
31,,Paul Casey,74,304.3,"35,909",118,Y2018
T32,,Jhonattan Vegas,92,303.6,"46,756",154,Y2018
T32,,Tiger Woods,68,303.6,"41,286",136,Y2018
T34,,Patrick Rodgers,97,303.5,"51,601",170,Y2018
T34,,Justin Rose,70,303.5,"37,630",124,Y2018
36,,Corey Conners,97,303.3,"56,421",186,Y2018
37,,Jamie Lovemark,92,303.2,"48,514",160,Y2018
T38,,Patrick Cantlay,87,303.1,"46,078",152,Y2018
T38,,Brandon Harkins,101,303.1,"57,591",190,Y2018
40,,Aaron Wise,90,302.9,"53,314",176,Y2018
T41,,Bronson Burgoon,69,302.8,"41,785",138,Y2018
T41,,Sam Saunders,80,302.8,"44,817",148,Y2018
T41,,Hudson Swafford,73,302.8,"33,307",110,Y2018
44,,Sean O'Hair,67,302.7,"38,139",126,Y2018
45,,Seamus Power,86,302.6,"47,212",156,Y2018
46,,Lanto Griffin,80,302.5,"44,773",148,Y2018
47,,Harris English,84,302.4,"47,182",156,Y2018
48,,Peter Uihlein,83,302.2,"42,313",140,Y2018
49,,Hideki Matsuyama,75,302,"38,657",128,Y2018
T50,,Matt Atkins,56,301.4,"31,346",104,Y2018
T50,,Ollie Schniederjans,91,301.4,"47,622",158,Y2018
T52,,Cody Gribble,71,301,"34,319",114,Y2018
T52,,Francesco Molinari,73,301,"39,730",132,Y2018
54,,Charles Howell III,104,300.9,"52,953",176,Y2018
T55,,Shane Lowry,64,300.7,"33,674",112,Y2018
T55,,J.T. Poston,73,300.7,"42,698",142,Y2018
57,,Phil Mickelson,90,300.3,"49,848",166,Y2018
T58,,Martin Flores,92,300,"49,195",164,Y2018
T58,,Chesson Hadley,103,300,"59,397",198,Y2018
T58,,Beau Hossler,104,300,"62,394",208,Y2018
T61,,Rickie Fowler,74,299.8,"44,363",148,Y2018
T61,,Louis Oosthuizen,62,299.8,"32,383",108,Y2018
T61,,Jordan Spieth,81,299.8,"45,563",152,Y2018
64,,Scott Stallings,96,299.7,"51,556",172,Y2018
T65,,Keegan Bradley,98,299.6,"50,932",170,Y2018
T65,,Shawn Stefani,76,299.6,"44,338",148,Y2018
T67,,Charley Hoffman,87,299.5,"47,912",160,Y2018
T67,,Charl Schwartzel,65,299.5,"27,557",92,Y2018
T69,,Stephan Jaeger,81,299.2,"44,877",150,Y2018
T69,,Alex Noren,67,299.2,"33,506",112,Y2018
T71,,Martin Laird,73,299,"38,865",130,Y2018
T71,,Ethan Tracy,72,299,"40,662",136,Y2018
T71,,Jimmy Walker,81,299,"46,051",154,Y2018
T74,,Talor Gooch,78,298.9,"43,039",144,Y2018
T74,,Branden Grace,67,298.9,"31,089",104,Y2018
76,,Tyrrell Hatton,58,298.8,"29,878",100,Y2018
T77,,James Hahn,85,298.7,"44,212",148,Y2018
T77,,Patton Kizzire,92,298.7,"53,174",178,Y2018
T77,,Xinjun Zhang,81,298.7,"42,417",142,Y2018
80,,Marc Leishman,93,298.5,"48,952",164,Y2018
81,,Cameron Smith,85,298.4,"41,770",140,Y2018
82,,J.J. Spaun,85,298.2,"47,108",158,Y2018
T83,,Stewart Cink,87,298.1,"47,107",158,Y2018
T83,,Patrick Reed,94,298.1,"46,509",156,Y2018
T85,,Daniel Berger,81,297.7,"40,490",136,Y2018
T85,,Lucas Glover,65,297.7,"29,171",98,Y2018
87,,Sam Ryder,82,297.3,"47,568",160,Y2018
88,,Jason Dufner,71,297.1,"35,652",120,Y2018
89,,Dominic Bozzelli,65,297,"38,614",130,Y2018
90,,Hunter Mahan,67,296.9,"37,415",126,Y2018
91,,Brice Garnett,99,296.7,"56,382",190,Y2018
92,,Scott Piercy,84,296.6,"45,088",152,Y2018
93,,Michael Thompson,62,296.4,"34,387",116,Y2018
T94,,Retief Goosen,60,296.2,"30,806",104,Y2018
T94,,Bill Haas,76,296.2,"41,474",140,Y2018
96,,Abraham Ancer,98,296.1,"56,850",192,Y2018
97,,Joel Dahmen,93,295.8,"50,290",170,Y2018
98,,Kyle Stanley,93,295.7,"44,940",152,Y2018
99,,Cameron Percy,56,295.6,"29,559",100,Y2018
T100,,Bud Cauley,55,295.4,"26,582",90,Y2018
T100,,Billy Horschel,86,295.4,"48,445",164,Y2018
T100,,Denny McCarthy,71,295.4,"37,224",126,Y2018
T100,,Troy Merritt,89,295.4,"50,222",170,Y2018
T100,,Brett Stegmaier,67,295.4,"36,034",122,Y2018
105,,Aaron Baddeley,84,295.3,"46,068",156,Y2018
106,,Emiliano Grillo,94,295.2,"49,588",168,Y2018
T107,,Rafa Cabrera Bello,75,295.1,"34,232",116,Y2018
T107,,Kevin Streelman,94,295.1,"54,307",184,Y2018
109,,Mackenzie Hughes,80,294.9,"44,824",152,Y2018
T110,,Kiradech Aphibarnrat,51,294.7,"24,757",84,Y2018
T110,,Blayne Barber,69,294.7,"39,488",134,Y2018
112,,Tyler Duncan,97,294.4,"54,752",186,Y2018
113,,Matt Every,79,294.2,"44,123",150,Y2018
114,,Anirban Lahiri,82,294,"43,507",148,Y2018
115,,Nate Lashley,51,293.9,"27,629",94,Y2018
116,,Andrew Putnam,97,293.8,"52,295",178,Y2018
117,,Webb Simpson,95,293.7,"54,042",184,Y2018
T118,,Satoshi Kodaira,51,293.6,"28,190",96,Y2018
T118,,Ian Poulter,73,293.6,"32,879",112,Y2018
120,,Nicholas Lindheim,77,293.5,"40,507",138,Y2018
121,,Graeme McDowell,67,293.2,"32,252",110,Y2018
T122,,Jonas Blixt,67,293.1,"31,072",106,Y2018
T122,,Sung Kang,89,293.1,"45,143",154,Y2018
T122,,Brandt Snedeker,84,293.1,"48,064",164,Y2018
125,,Russell Henley,77,293,"38,678",132,Y2018
T126,,C.T. Pan,104,292.7,"52,679",180,Y2018
T126,,Nick Taylor,94,292.7,"48,009",164,Y2018
T128,,Scott Brown,102,292.6,"52,663",180,Y2018
T128,,Robert Streb,78,292.6,"38,628",132,Y2018
T130,,Austin Cook,107,292.3,"62,543",214,Y2018
T130,,Rory Sabbatini,91,292.3,"52,026",178,Y2018
132,,Martin Piller,79,292.2,"45,000",154,Y2018
T133,,Zecheng Dou,53,291.9,"26,270",90,Y2018
T133,,Brian Harman,94,291.9,"47,866",164,Y2018
T135,,J.J. Henry,81,291.8,"43,765",150,Y2018
T135,,Richy Werenski,98,291.8,"51,355",176,Y2018
T137,,Jonathan Byrd,70,291.7,"36,168",124,Y2018
T137,,Russell Knox,94,291.7,"50,170",172,Y2018
139,,Henrik Stenson,60,291.5,"30,319",104,Y2018
140,,Tom Hoge,101,291.4,"54,199",186,Y2018
141,,Conrad Shindler,60,291.3,"32,621",112,Y2018
T142,,Fabián Gómez,88,291.1,"48,903",168,Y2018
T142,,Andrew Landry,82,291.1,"46,569",160,Y2018
T144,,Peter Malnati,87,290.9,"48,282",166,Y2018
T144,,Pat Perez,82,290.9,"36,659",126,Y2018
T146,,Si Woo Kim,108,290.8,"53,512",184,Y2018
T146,,Kevin Kisner,89,290.8,"45,369",156,Y2018
T148,,Ricky Barnes,65,290.6,"34,295",118,Y2018
T148,,Danny Lee,88,290.6,"45,333",156,Y2018
T148,,Andrew Yun,51,290.6,"26,153",90,Y2018
151,,Tyrone Van Aswegen,101,290.3,"53,713",185,Y2018
152,,Ben Silverman,90,290.2,"48,754",168,Y2018
153,,Michael Kim,74,289.9,"38,265",132,Y2018
T154,,Zach Johnson,94,289.8,"50,427",174,Y2018
T154,,Chris Kirk,108,289.8,"59,123",204,Y2018
T154,,Chris Stroud,81,289.8,"37,675",130,Y2018
T157,,Ben Martin,64,289.6,"37,069",128,Y2018
T157,,Kevin Na,91,289.6,"45,175",156,Y2018
T159,,Adam Hadwin,92,289.4,"44,574",154,Y2018
T159,,Jonathan Randolph,71,289.4,"37,625",130,Y2018
T161,,William McGirt,84,289.3,"45,130",156,Y2018
T161,,Cameron Tringale,67,289.3,"36,450",126,Y2018
163,,Ryan Moore,78,289.2,"45,109",156,Y2018
164,,Derek Fathauer,84,289.1,"46,256",160,Y2018
165,,Ryan Blaum,81,289,"45,079",156,Y2018
166,,Steve Wheatcroft,60,288.9,"33,515",116,Y2018
167,,Kelly Kraft,94,288.6,"48,478",168,Y2018
168,,Rod Pampling,62,288.4,"28,842",100,Y2018
169,,Matt Kuchar,88,288,"43,781",152,Y2018
T170,,John Huh,94,287.1,"51,686",180,Y2018
T170,,Daniel Summerhays,51,287.1,"25,836",90,Y2018
172,,Alex Cejka,77,286.7,"39,567",138,Y2018
T173,,Chad Campbell,87,286.5,"40,684",142,Y2018
T173,,Chez Reavie,93,286.5,"42,402",148,Y2018
175,,Roberto Díaz,72,286.3,"38,935",136,Y2018
T176,,Vaughn Taylor,83,286.1,"45,208",158,Y2018
T176,,Johnson Wagner,75,286.1,"39,487",138,Y2018
178,,"Ted Potter, Jr.",87,286,"49,759",174,Y2018
179,,Whee Kim,93,285.8,"46,299",162,Y2018
180,,David Lingmerth,82,285.4,"44,515",156,Y2018
181,,Kyle Thompson,50,285.3,"26,249",92,Y2018
182,,Rob Oppenheim,74,285.2,"38,787",136,Y2018
183,,David Hearn,66,285.1,"34,210",120,Y2018
184,,Billy Hurley III,70,284,"36,354",128,Y2018
185,,Ryan Armour,109,283.5,"60,663",214,Y2018
186,,Brian Gay,103,282.9,"57,155",202,Y2018
187,,Greg Chalmers,56,282.8,"29,413",104,Y2018
188,,Ben Crane,65,281.1,"30,921",110,Y2018
189,,D.A. Points,63,280.8,"32,015",114,Y2018
190,,Jim Furyk,50,280.5,"26,930",96,Y2018
191,,Wesley Bryan,69,280.4,"30,844",110,Y2018
192,,Zac Blair,64,279.5,"32,427",116,Y2018
193,,Brian Stuard,103,278.9,"54,106",194,Y2018
1,1,Rory McIlroy,51,316.7,"26,600",84,Y2017
2,2,Dustin Johnson,77,314.4,"40,241",128,Y2017
3,3,Brandon Hagy,85,312.7,"48,162",154,Y2017
4,4,Luke List,102,311.5,"61,046",196,Y2017
5,5,Andrew Loupe,55,311.3,"32,371",104,Y2017
T6,T6,Ryan Brehm,83,310.5,"45,340",146,Y2017
T6,T6,Brooks Koepka,88,310.5,"44,717",144,Y2017
8,8,Justin Thomas,86,309.3,"41,451",134,Y2017
T9,T9,Tony Finau,106,309.2,"61,842",200,Y2017
T9,T9,Kevin Tway,96,309.2,"54,421",176,Y2017
11,11,Trey Mullinax,88,308.8,"48,176",156,Y2017
12,12,Grayson Murray,94,308.2,"55,483",180,Y2017
13,13,Gary Woodland,94,306.9,"47,268",154,Y2017
14,14,J.B. Holmes,83,306.4,"41,674",136,Y2017
T15,T15,Jason Day,71,306.3,"39,203",128,Y2017
T15,T15,Patrick Rodgers,76,306.3,"42,884",140,Y2017
T15,T15,Xander Schauffele,96,306.3,"53,916",176,Y2017
18,18,Adam Scott,58,306.1,"29,390",96,Y2017
19,19,Jon Rahm,90,305.8,"49,536",162,Y2017
20,20,Jason Kokrak,95,305.7,"53,184",174,Y2017
21,21,Bubba Watson,71,305.6,"34,840",114,Y2017
22,22,Hudson Swafford,94,305.1,"52,477",172,Y2017
23,23,Smylie Kaufman,76,304.8,"40,842",134,Y2017
24,24,Kevin Chappell,95,304.7,"47,539",156,Y2017
25,25,Jamie Lovemark,98,304.5,"53,596",176,Y2017
26,26,Ryan Palmer,61,303.1,"30,917",102,Y2017
27,27,Hideki Matsuyama,83,302.9,"38,776",128,Y2017
28,28,Matt Jones,64,302.6,"33,891",112,Y2017
29,29,Harold Varner III,101,302.4,"57,462",190,Y2017
30,30,Tag Ridings,67,301.6,"35,583",118,Y2017
31,31,Harris English,84,301.2,"43,379",144,Y2017
32,32,Graham DeLaet,82,301.1,"45,769",152,Y2017
T33,T33,Sergio Garcia,65,300.9,"30,093",100,Y2017
T33,T33,Nick Watney,75,300.9,"41,521",138,Y2017
35,35,Jhonattan Vegas,95,300.8,"48,126",160,Y2017
T36,T36,Robert Garrigus,78,300.7,"43,307",144,Y2017
T36,T36,Ollie Schniederjans,92,300.7,"52,321",174,Y2017
38,38,Martin Flores,88,300.6,"48,705",162,Y2017
39,39,Rickie Fowler,78,300.5,"40,863",136,Y2017
40,40,Justin Rose,66,300.4,"37,254",124,Y2017
T41,T41,Byeong Hun An,77,299.9,"37,193",124,Y2017
T41,T41,Brendan Steele,89,299.9,"45,580",152,Y2017
43,43,Billy Horschel,88,299.5,"50,323",168,Y2017
44,44,Keegan Bradley,104,299.4,"56,296",188,Y2017
45,45,Andres Gonzales,73,299.2,"41,289",138,Y2017
46,46,Bryson DeChambeau,91,299.1,"52,050",174,Y2017
47,47,Patrick Cantlay,52,298.9,"28,699",96,Y2017
48,48,Seung-Yul Noh,91,298.5,"51,943",174,Y2017
49,49,Charl Schwartzel,63,298.4,"32,224",108,Y2017
50,50,Charley Hoffman,112,298.3,"62,053",208,Y2017
T51,T51,Lucas Glover,93,298.1,"52,463",176,Y2017
T51,T51,Marc Leishman,94,298.1,"48,882",164,Y2017
T51,T51,Seamus Power,86,298.1,"47,702",160,Y2017
54,54,Rick Lamb,54,298,"29,798",100,Y2017
55,55,Matt Every,76,297.7,"41,672",140,Y2017
T56,T56,Russell Henley,99,297.6,"55,357",186,Y2017
T56,T56,Scott Stallings,81,297.6,"45,832",154,Y2017
T58,T58,Cody Gribble,79,297.2,"45,770",154,Y2017
T58,T58,Sean O'Hair,84,297.2,"46,361",156,Y2017
T60,T60,Paul Casey,94,297,"46,325",156,Y2017
T60,T60,Anirban Lahiri,72,297,"40,391",136,Y2017
62,62,Charles Howell III,86,296.9,"46,318",156,Y2017
T63,T63,Daniel Berger,91,296.5,"45,063",152,Y2017
T63,T63,Kyle Stanley,104,296.5,"59,304",200,Y2017
65,65,Sung Kang,104,296.4,"58,094",196,Y2017
66,66,Martin Laird,83,296.1,"46,784",158,Y2017
T67,T67,Brian Campbell,55,296,"30,188",102,Y2017
T67,T67,Bud Cauley,92,296,"50,910",172,Y2017
T67,T67,Sebastián Muñoz,51,296,"29,004",98,Y2017
70,70,Stewart Cink,93,295.8,"52,659",178,Y2017
71,71,Jimmy Walker,68,295.7,"34,894",118,Y2017
72,72,Patrick Reed,107,295.3,"51,971",176,Y2017
73,73,Louis Oosthuizen,69,295.2,"31,879",108,Y2017
T74,T74,Shane Lowry,52,295.1,"24,200",82,Y2017
T74,T74,Scott Piercy,70,295.1,"33,637",114,Y2017
76,76,Jordan Spieth,85,295,"43,660",148,Y2017
77,77,J.T. Poston,95,294.8,"50,117",170,Y2017
T78,T78,Jason Dufner,89,294.5,"47,113",160,Y2017
T78,T78,Hunter Mahan,73,294.5,"41,814",142,Y2017
80,80,Dominic Bozzelli,69,294.4,"38,278",130,Y2017
T81,T81,Mackenzie Hughes,106,294.3,"61,211",208,Y2017
T81,T81,Robert Streb,98,294.3,"52,980",180,Y2017
83,83,J.J. Henry,92,294.1,"50,585",172,Y2017
T84,T84,Shawn Stefani,72,294,"39,985",136,Y2017
T84,T84,Kevin Streelman,90,294,"51,736",176,Y2017
T86,T86,James Hahn,96,293.9,"54,083",184,Y2017
T86,T86,Morgan Hoffmann,92,293.9,"51,728",176,Y2017
88,88,Sam Saunders,76,293.6,"41,097",140,Y2017
T89,T89,Julián Etulain,68,293.5,"36,978",126,Y2017
T89,T89,Phil Mickelson,85,293.5,"46,956",160,Y2017
T91,T91,Emiliano Grillo,90,293,"45,127",154,Y2017
T91,T91,Patton Kizzire,84,293,"44,531",152,Y2017
T93,T93,Aaron Baddeley,61,292.6,"31,014",106,Y2017
T93,T93,Cameron Smith,86,292.6,"47,989",164,Y2017
T95,T95,Jim Herman,77,292.5,"41,536",142,Y2017
T95,T95,Cameron Percy,71,292.5,"38,027",130,Y2017
97,97,Bill Haas,92,292.3,"45,019",154,Y2017
98,98,Gonzalo Fernandez-Castaño,63,292.1,"32,720",112,Y2017
T99,T99,Kelly Kraft,75,291.9,"41,453",142,Y2017
T99,T99,Francesco Molinari,75,291.9,"38,535",132,Y2017
101,101,Retief Goosen,52,291.8,"26,843",92,Y2017
102,102,Ben Martin,86,291.7,"46,087",158,Y2017
T103,T103,Rory Sabbatini,71,291.6,"37,911",130,Y2017
T103,T103,Nick Taylor,97,291.6,"55,408",190,Y2017
105,105,J.J. Spaun,92,291.5,"50,146",172,Y2017
T106,T106,Blayne Barber,77,291.2,"41,355",142,Y2017
T106,T106,Richy Werenski,81,291.2,"43,102",148,Y2017
108,108,Danny Lee,93,291.1,"49,486",170,Y2017
109,109,Rafa Cabrera Bello,63,291,"27,934",96,Y2017
110,110,Adam Hadwin,98,290.7,"52,331",180,Y2017
T111,T111,Branden Grace,70,290.6,"29,644",102,Y2017
T111,T111,Pat Perez,93,290.6,"48,828",168,Y2017
113,113,Boo Weekley,75,289.9,"42,332",146,Y2017
T114,T114,David Lingmerth,79,289.8,"38,828",134,Y2017
T114,T114,Troy Merritt,82,289.8,"42,887",148,Y2017
T116,T116,Brian Harman,104,289.6,"53,280",184,Y2017
T116,T116,Michael Kim,94,289.6,"52,130",180,Y2017
118,118,Whee Kim,74,289.4,"39,354",136,Y2017
119,119,Scott Brown,95,289,"52,591",182,Y2017
T120,T120,Jonas Blixt,74,288.8,"40,435",140,Y2017
T120,T120,Ryo Ishikawa,56,288.8,"30,035",104,Y2017
T122,T122,Kevin Kisner,105,288.7,"49,657",172,Y2017
T122,T122,Brett Stegmaier,78,288.7,"41,573",144,Y2017
T122,T122,Camilo Villegas,76,288.7,"41,579",144,Y2017
125,125,Si Woo Kim,80,288.4,"36,337",126,Y2017
126,126,Brad Fritsch,56,288.3,"29,988",104,Y2017
T127,T127,Miguel Angel Carballo,63,288.1,"32,849",114,Y2017
T127,T127,Johnson Wagner,71,288.1,"36,299",126,Y2017
T129,T129,Russell Knox,75,288,"34,561",120,Y2017
T129,T129,Ryan Moore,82,288,"40,894",142,Y2017
131,131,Rod Pampling,71,287.8,"40,864",142,Y2017
132,132,Steven Bowditch,59,287.3,"31,608",110,Y2017
T133,T133,Jonathan Randolph,68,287.2,"33,887",118,Y2017
T133,T133,Tyrone Van Aswegen,105,287.2,"53,412",186,Y2017
T135,T135,John Huh,92,287.1,"48,229",168,Y2017
T135,T135,Nicholas Lindheim,58,287.1,"32,151",112,Y2017
T135,T135,C.T. Pan,88,287.1,"48,230",168,Y2017
138,138,Chris Kirk,89,287,"47,637",166,Y2017
139,139,Daniel Summerhays,100,286.9,"49,340",172,Y2017
T140,T140,Zach Johnson,81,286.8,"41,872",146,Y2017
T140,T140,Chris Stroud,67,286.8,"33,847",118,Y2017
T142,T142,Derek Fathauer,81,286.5,"40,684",142,Y2017
T142,T142,Geoff Ogilvy,80,286.5,"41,261",144,Y2017
144,144,Brett Drewitt,57,286.4,"30,356",106,Y2017
145,145,Webb Simpson,102,286.2,"54,381",190,Y2017
146,146,Kyle Reifers,96,286.1,"48,062",168,Y2017
147,147,Chad Campbell,97,285.6,"53,121",186,Y2017
T148,T148,Fabián Gómez,61,285.1,"33,638",118,Y2017
T148,T148,Tom Hoge,54,285.1,"26,226",92,Y2017
T148,T148,Matt Kuchar,95,285.1,"47,892",168,Y2017
151,151,Ricky Barnes,100,284.9,"50,148",176,Y2017
T152,T152,William McGirt,89,284.8,"44,995",158,Y2017
T152,T152,Chez Reavie,98,284.8,"49,553",174,Y2017
T152,T152,Michael Thompson,60,284.8,"31,903",112,Y2017
155,155,Ryan Blaum,100,284.1,"54,539",192,Y2017
156,156,Mark Anderson,54,283.8,"29,512",104,Y2017
T157,T157,Ernie Els,52,283.6,"24,960",88,Y2017
T157,T157,Kevin Na,86,283.6,"39,703",140,Y2017
