RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,NUM_SAVES,NUM_BUNKERS,TOTAL_O_U_PAR,YEAR
T10,T10,Brian Gay,81,59.18,87,147,56,Y2014
T10,T10,Heath Slocum,71,59.18,58,98,21,Y2014
12,12,Retief Goosen,94,59.15,84,142,37,Y2014
13,13,John Senden,99,59.01,95,161,36,Y2014
14,14,Patrick Reed,92,58.97,92,156,55,Y2014
15,15,Brendon Todd,108,58.24,106,182,60,Y2014
16,16,Justin Rose,70,58.16,57,98,17,Y2014
17,17,Greg Chalmers,85,58.08,97,167,65,Y2014
18,18,Chris Kirk,105,57.89,99,171,35,Y2014
19,19,Jordan Spieth,102,57.64,117,203,54,Y2014
20,20,Jason Day,54,57.3,51,89,16,Y2014
21,21,Marc Leishman,81,56.94,82,144,46,Y2014
T22,T22,Morgan Hoffmann,103,56.89,95,167,47,Y2014
T22,T22,Kevin Na,94,56.89,95,167,48,Y2014
24,24,Richard Lee,80,56.83,79,139,43,Y2014
25,25,Chad Collins,78,56.52,78,138,44,Y2014
26,26,Sergio Garcia,61,56.36,62,110,12,Y2014
T27,T27,Gonzalo Fernandez-Castaño,83,56.34,80,142,44,Y2014
T27,T27,Matt Kuchar,91,56.34,80,142,36,Y2014
29,29,Brian Davis,93,56.22,104,185,67,Y2014
30,30,James Driscoll,71,55.97,75,134,43,Y2014
31,31,Scott Langley,95,55.63,84,151,54,Y2014
32,32,Charles Howell III,106,55.32,78,141,35,Y2014
33,33,Russell Knox,92,55.2,69,125,37,Y2014
34,34,Tim Wilkinson,86,55.07,76,138,56,Y2014
35,35,David Hearn,97,54.88,90,164,51,Y2014
36,36,Charl Schwartzel,64,54.78,63,115,30,Y2014
37,37,"Ted Potter, Jr.",68,54.7,64,117,29,Y2014
38,38,Bryce Molder,77,54.62,65,119,44,Y2014
39,39,Sangmoon Bae,76,54.61,77,141,31,Y2014
T40,T40,Aaron Baddeley,74,54.41,74,136,51,Y2014
T40,T40,Ben Crane,81,54.41,74,136,53,Y2014
42,42,John Huh,87,54.33,69,127,48,Y2014
43,43,Hunter Mahan,88,54.32,88,162,51,Y2014
44,44,K.J. Choi,80,54.3,82,151,54,Y2014
45,45,Ryan Palmer,85,53.89,90,167,39,Y2014
46,46,Tyrone Van Aswegen,79,53.78,64,119,37,Y2014
T47,T47,Jason Dufner,57,53.76,50,93,28,Y2014
T47,T47,Graeme McDowell,66,53.76,50,93,33,Y2014
49,49,Adam Scott,68,53.66,66,123,31,Y2014
50,50,Webb Simpson,87,53.62,74,138,42,Y2014
51,51,Steven Bowditch,93,53.61,89,166,57,Y2014
52,52,Graham DeLaet,80,53.45,62,116,34,Y2014
53,53,Andres Romero,81,53.33,72,135,41,Y2014
54,54,Zach Johnson,97,53.25,82,154,46,Y2014
55,55,Troy Merritt,62,53.19,50,94,25,Y2014
56,56,Hideki Matsuyama,82,53.06,78,147,37,Y2014
57,57,Stuart Appleby,92,53.01,88,166,63,Y2014
58,58,Martin Kaymer,65,52.63,60,114,23,Y2014
T59,T59,Spencer Levin,59,52.53,52,99,32,Y2014
T59,T59,Mark Wilson,69,52.53,52,99,36,Y2014
61,61,Sean O'Hair,77,52.5,84,160,45,Y2014
62,62,Billy Hurley III,86,52.34,67,128,43,Y2014
63,63,Brooks Koepka,56,52.33,45,86,34,Y2014
64,64,Martin Flores,85,52.31,68,130,41,Y2014
65,65,Cameron Tringale,111,52.2,95,182,60,Y2014
