RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,YEAR
114,114,Bronson La'Cassie,51,59.76,392,656,Y2014
115,115,Chad Collins,78,59.67,614,"1,029",Y2014
116,116,Robert Streb,75,59.62,592,993,Y2014
T117,T117,Brendan Steele,89,59.51,707,"1,188",Y2014
T117,T117,Tim Wilkinson,86,59.51,682,"1,146",Y2014
T119,T119,Bryce Molder,77,59.49,605,"1,017",Y2014
T119,T119,Gary Woodland,93,59.49,765,"1,286",Y2014
T121,T121,Stewart Cink,91,59.45,755,"1,270",Y2014
T121,T121,Charl Schwartzel,64,59.45,516,868,Y2014
123,123,Freddie Jacobson,91,59.35,752,"1,267",Y2014
124,124,Davis Love III,74,59.04,591,"1,001",Y2014
125,125,Charlie Beljan,76,59.02,592,"1,003",Y2014
126,126,Luke Guthrie,85,58.99,699,"1,185",Y2014
127,127,Kevin Tway,64,58.95,494,838,Y2014
128,128,Brice Garnett,92,58.91,724,"1,229",Y2014
T129,T129,Carl Pettersson,91,58.79,746,"1,269",Y2014
T129,T129,Jordan Spieth,102,58.79,806,"1,371",Y2014
131,131,Jason Day,54,58.72,394,671,Y2014
132,132,Charley Hoffman,93,58.69,760,"1,295",Y2014
133,133,Ryan Palmer,85,58.55,695,"1,187",Y2014
T134,T134,Greg Chalmers,85,58.51,660,"1,128",Y2014
T134,T134,Geoff Ogilvy,84,58.51,653,"1,116",Y2014
T136,T136,Trevor Immelman,84,58.5,654,"1,118",Y2014
T136,T136,Matt Jones,83,58.5,678,"1,159",Y2014
138,138,Erik Compton,88,58.48,717,"1,226",Y2014
139,139,Ángel Cabrera,69,58.4,563,964,Y2014
140,140,Phil Mickelson,71,58.01,576,993,Y2014
141,141,Marc Leishman,81,57.97,647,"1,116",Y2014
142,142,Tommy Gainey,73,57.92,556,960,Y2014
143,143,Charlie Wi,72,57.74,563,975,Y2014
144,144,Bud Cauley,56,57.54,450,782,Y2014
145,145,Jeff Overton,80,57.36,608,"1,060",Y2014
T146,T146,Robert Garrigus,80,57.18,637,"1,114",Y2014
T146,T146,Dustin Johnson,58,57.18,458,801,Y2014
148,148,Chesson Hadley,84,57.01,667,"1,170",Y2014
149,149,Johnson Wagner,69,56.95,516,906,Y2014
150,150,Brooks Koepka,56,56.91,445,782,Y2014
151,151,Matt Every,85,56.72,671,"1,183",Y2014
152,152,Martin Flores,85,56.71,672,"1,185",Y2014
153,153,Jim Renner,61,56.5,465,823,Y2014
154,154,Jonas Blixt,64,56.16,488,869,Y2014
155,155,Scott Stallings,77,56.04,594,"1,060",Y2014
156,156,Retief Goosen,94,55.9,701,"1,254",Y2014
157,157,Jason Kokrak,65,55.64,503,904,Y2014
158,158,Patrick Reed,92,55.59,701,"1,261",Y2014
159,159,Rory Sabbatini,82,55.48,602,"1,085",Y2014
160,160,Steven Bowditch,93,55.13,715,"1,297",Y2014
161,161,Seung-Yul Noh,92,55.02,707,"1,285",Y2014
162,162,Ricky Barnes,92,54.85,673,"1,227",Y2014
163,163,Andres Romero,81,54.79,589,"1,075",Y2014
164,164,J.B. Holmes,86,54.71,656,"1,199",Y2014
165,165,Morgan Hoffmann,103,54.09,747,"1,381",Y2014
166,166,Jamie Lovemark,64,53.94,452,838,Y2014
167,167,Sean O'Hair,77,53.73,576,"1,072",Y2014
168,168,Tyrone Van Aswegen,79,53.54,583,"1,089",Y2014
T169,T169,Ernie Els,85,53.26,588,"1,104",Y2014
T169,T169,Ryo Ishikawa,75,53.26,556,"1,044",Y2014
171,171,Troy Matteson,62,53.09,430,810,Y2014
172,172,Charles Howell III,106,52.77,780,"1,478",Y2014
173,173,Mike Weir,69,52.76,478,906,Y2014
174,174,James Driscoll,71,52.68,520,987,Y2014
175,175,Aaron Baddeley,74,52.29,525,"1,004",Y2014
176,176,Jimmy Walker,98,51.67,696,"1,347",Y2014
177,177,Andrew Loupe,65,50,426,852,Y2014
